restricted_code,action
420330000011,add
420330000012,add
420340000011,add
420340000012,add
420500900011,add
420500900012,add
430310900015,add
430390000019,add
430400000012,add
500720310000,add
500720390000,add
500720410000,add
500720590000,add
500720710000,add
500790100000,add
500790500000,add
520911000000,add
521214900000,add
521223900000,add
530720000000,add
531100904900,add
540761509011,add
540810001000,add
540810009019,add
540822909012,add
540822909019,add
540823009019,add
560290000000,add
560790909000,add
570239000011,add
570292900000,add
570299000011,add
570299000012,add
570500300000,add
580410909000,add
580890009000,add
581010900000,add
581091900000,add
581092100000,add
581092900000,add
581100009900,add
590500903900,add
590700000000,add
600410000013,add
600410000018,add
600537000001,add
600537000009,add
610230100000,add
610322000000,add
610332000000,add
610342000000,add
610422000000,add
610441000000,add
610442000000,add
610443000019,add
610444000019,add
610452000000,add
610453000000,add
610459000011,add
610459000013,add
610462000000,add
610520100000,add
610610000000,add
610620000000,add
610721000000,add
610831000000,add
610832000000,add
610891000000,add
610990200012,add
610990900000,add
611020910000,add
611030100000,add
611030910000,add
611030990000,add
611090900000,add
611130900000,add
611300900000,add
611521000000,add
611530190000,add
611691000000,add
611693000000,add
611699000000,add
611710000000,add
611780101900,add
620130100014,add
620130900019,add
620140900013,add
620130100019,add
620230900019,add
620240100019,add
620332900000,add
620333900000,add
620341100000,add
620342350000,add
620342900000,add
620343190000,add
620349900000,add
620413000000,add
620433900000,add
620439900000,add
620442000018,add
620443000019,add
620444000019,add
620449100019,add
620449900000,add
620452000018,add
620453000000,add
620459100000,add
620459900000,add
620462390000,add
620462900000,add
620463900000,add
620630000018,add
620630000028,add
620640000000,add
620690900011,add
620821000011,add
620891000000,add
620920000019,add
620990900019,add
621020000000,add
621142900000,add
621143900000,add
621210100000,add
621210900000,add
621290000019,add
621410000000,add
621420000000,add
621430000000,add
621440000000,add
621490000000,add
621600000000,add
621710000011,add
621710000019,add
621790001900,add
621790009000,add
630221000011,add
630221000019,add
630231000000,add
630232900000,add
630239200000,add
630239900000,add
630240000000,add
630251000000,add
630253900000,add
630291000000,add
630299900019,add
630419909019,add
630491000019,add
630492009019,add
630499000019,add
630790910000,add
630790100019,add
640110000000,add
640192100000,add
640192900000,add
640199000000,add
640212100000,add
640212900000,add
640219000000,add
640220000000,add
640291100000,add
640291900000,add
640299050000,add
640299100000,add
640299310000,add
640299390000,add
640299500000,add
640299910000,add
640299930000,add
640299960000,add
640299980000,add
640312000000,add
640319000000,add
640320000000,add
640340000011,add
640340000012,add
640340000013,add
640351050000,add
640351110000,add
640351150000,add
640351190000,add
640351910000,add
640351950000,add
640351990000,add
640359050000,add
640359110000,add
640359310000,add
640359350000,add
640359390000,add
640359500011,add
640359500012,add
640359500013,add
640359910000,add
640359950000,add
640359990000,add
640391050000,add
640391110000,add
640391130000,add
640391160000,add
640391180000,add
640391910000,add
640391930000,add
640391960000,add
640391980000,add
640399050000,add
640399110000,add
640399310000,add
640399330000,add
640399360000,add
640399380000,add
640399500000,add
640399910000,add
640399930000,add
640399960000,add
640399980000,add
640411000000,add
640419100000,add
640419900000,add
640420100000,add
640420900000,add
640510000000,add
640520100000,add
640520910000,add
640520990000,add
640590100000,add
640590900000,add
640610100000,add
640610901000,add
640610909000,add
640620100011,add
640620100012,add
640620900011,add
640620900012,add
640690300000,add
640690501011,add
640690501019,add
640690503011,add
640690503019,add
640690509011,add
640690509019,add
640690600000,add
640690901000,add
640690903000,add
640690909000,add
650400000000,add
650500901000,add
650500909000,add
670419000000,add
940429900000,add
940490900000,add
841340000000,add
842641009000,add
842649000000,add
842920000011,add
842930000000,add
842940100011,add
842940100019,add
842940300000,add
842951101011,add
842951109011,add
842951991011,add
842952100000,add
842952900011,add
842959001011,add
843041000000,add
870310110000,add
401110009011,add
401110009012,add
401110009013,add
401110009018,add
401120100011,add
401120100012,add
401120100019,add
401120900011,add
401120900012,add
401120900019,add
401140000000,add
401170000000,add
650610109000,add
650610809000,add
700711100012,add
700711100019,add
700711100029,add
851220000012,add
851711000000,add
851713000011,add
851713000019,add
851718000019,add
851761001000,add
851762009000,add
851769300000,add
851769909015,add
851769909017,add
851769909024,add
851769909025,add
851769909029,add
851830009000,add
852550000011,add
852550000012,add
852550000013,add
852550000019,add
852560000015,add
852560000017,add
852560000029,add
852610000012,add
852610000019,add
852691200000,add
852691800011,add
852691800019,add
852692002000,add
360200000019,add
360410000000,add
360490000011,add
360490000012,add
360490000013,add
360490000019,add
630110000000,add
731100111000,add
731100119000,add
731100131000,add
731100139000,add
731100191000,add
731100199000,add
731100300000,add
731100911000,add
731100919000,add
731100991000,add
731100999000,add
732111100011,add
732111100012,add
732111900011,add
732111900012,add
732393000000,add
761510800000,add
840220000000,add
840310100000,add
840310900000,add
840390100000,add
840390900000,add
841370219000,add
