targetasin,targetvendorcode,classification_code
B0CNTKQ624,VOT35,741220000011
B002BA5F4I,VOT35,392690979018
B0D3J7N26G,VOT35,691390930090
B00N01MGWQ,VOT35,940360909000
B008ROLORO,VOT35,940429900000
B0CN1HDD92,VOT35,420292919000
B08X2ZFNPX,VOT35,491199009000
B08X2ZFNPX,WX7IB,491199009000
B0042VTYSW,VOT35,821490009019
B0016H1Q0E,7A7K1,848190000019
B0C6LNBKNJ,HD7R9,950300210000
B004TTXO5G,91BEM,630392900012
B07HZDJ27S,24ALS,630392900012
B0021VKPNI,VOT35,920999700000
B07JG94JCH,VOT35,392640000019
B07CQHCXVP,VOT35,848180110000
B00BSXKLA2,C17Q1,848180110000
B018VCAA5I,VOT35,852349200000
B0751KX8FQ,VOT35,392321000019
B09HRR2PLP,VOT35,420100000000
B08NQ1JV8S,VOT35,420100000000
B00D28KQGK,VOT35,920999200000
B0BHZWYL8P,VOT35,442019000000
B07XSMCV5V,VOT35,482030000000
B0BDKQBYZ4,Y07TA,482050000000
B001PMHURI,VOT35,482190100000
B0BRTBDSQK,VOT35,950730000000
B0BNQP3989,VOT35,950790000000
B07N25S8KX,VOT35,920290300000
B0BTDJBQTY,Y07TA,950300690000
B08CCHFZFG,VOT35,420100000000
B001PNZYU2,ZK7XL,848180190009
B001PNZYU2,VOT35,848180190009
B01G6WHD3C,VOT35,848180190009
B01G6WHD3C,ZK7XL,848180190009
B01KXMWDRC,2A7IR,830242000019
B01KXMWDRC,VOT35,830242000019
B00TY1934U,VOT35,852349200000
B01NBLS1KP,VOT35,820790990000
B000003YK9,YN8BW,852349200000
B08N9M2YKT,VOT35,848180110000
B0776YC1CY,VOT35,630790980019
B0776YC1CY,YL79V,630790980019
B06XRYCX4J,VOT35,630790980019
B0B92SZQSH,VOT35,691200830000
B07VMS6M1F,VOT35,630312000000
B001BNAZOQ,VOT35,741810900011
B01LWWWOTY,WK7SI,630392900012
B01LWWWOTY,VOT35,630392900012
B001NXD0IW,VOT35,950790000000
B07V6GV8HT,VOT35,820551000000
B084N91C3K,VOT35,442019000000
B07BFKWS78,VOT35,848180190009
B07BFKWS78,ZK7XL,848180190009
B011LVHLPS,VOT35,950790000000
B075V7X51W,VOT35,420100000000
B0019F5AO6,VOT35,820750900000
B084VBW5NS,VOT35,442090990000
B002RRJR12,VOT35,901720390000
B07PFFY85T,VOT35,481420000000
B0030MIHDM,VOT35,391610000000
B000E8HX9E,VOT35,830249000000
B09WF2LLWP,VOT35,392112000000
B09WF2LLWP,CCA4R,392112000000
B01M3O3MIB,VOT35,950790000000
B00VBL468Y,VOT35,950420009000
B001550AZ4,VOT35,820540000000
B001JYQNNY,VOT35,392690979018
B01IEW0ADC,VOT35,960390919019
B09KV5TWXJ,VOT35,392690979018
B004VQE0AU,VOT35,392690979018
B07SSVKP1S,VOT35,630391000030
B07VGVLBSL,VOT35,950730000000
B096GBFRBS,VOT35,950730000000
B00122OW8G,VOT35,630790980019
B01GMQGQBC,VOT35,442199990019
B085VKY2S3,VOT35,830242000019
B085VKY2S3,2A7IR,830242000019
B00JKRKJBE,VOT35,482020000000
B07WDM84MK,VOT35,960390990000
B07WDM84MK,F27LO,960390990000
B09DHFLMM9,VOT35,920994000000
B0798HX5TN,VOT35,920992000000
B076KW4YSM,VOT35,442199990019
B0BC9XKCHF,25A8G,950300690000
B07JQCVBBZ,VOT35,392690979018
B0CHSJQZ5L,BC7HQ,441490000000
B0CHSJQZ5L,VOT35,441490000000
B000QDA4R0,VOT35,392590100000
1409323498,VOT35,490191000000
B0BDM3BDFS,VOT35,392490000013
B000WULWX2,VOT35,820530000000
B0BXTB8K19,VOT35,950639100000
B00LOYGK0K,4O7EW,950790000000
B00LOYGK0K,VOT35,950790000000
B005OSZ1C0,VOT35,950790000000
B089WGYHNR,VOT35,420100000000
B0013MX6G4,VOT35,420100000000
B00NJ023YO,VOT35,820570000000
B001L1RETM,VOT35,482030000000
B0C2FDYJ1T,VOT35,950669900000
B00NGWD9L6,VOT35,950669900000
B071YZY3SS,VOT35,950691900000
B0072BD3WM,VOT35,660110000000
B07YXY6M2Q,VOT35,950440000000
B01EK4LX34,VOT35,950590000000
B017H13D62,VOT35,852341900000
B016COH7EO,VOT35,940383000000
B097C98LCT,VOT35,820320000011
B07RM5JN1H,VOT35,750890009019
B00Z7RYQP6,VOT35,420299009000
B076LW36HF,VOT35,830140110000
B0CZS9YJNS,7R7YE,392490000019
B0CZS9YJNS,VOT35,392490000019
B00JUHU6R6,VOT35,950639900000
B00A43IZ0A,VOT35,848180110000
B07JMR323H,VOT35,950790000000
B00BOUIB88,VOT35,961100000000
B01A7HN0O8,VOT35,420100000000
B0064S7G2M,VOT35,920999200000
B07XSNFBGS,VOT35,482030000000
B0B62VF8WD,VOT35,950691900000
B009BQSQHS,VOT35,950790000000
B005SUWRBW,VOT35,920600000000
B003E1QD4Y,YN8BW,852349200000
0062857797,UK80D,490199000019
B00UATTS72,VOT35,950631000000
B0CYQPHHRN,VOT35,960390919019
B003CLIPHO,VOT35,851810000000
B00ND6JISS,VOT35,830241100019
B00P41UIMK,VOT35,848180110000
B08BKX7DYP,VOT35,630392900012
B0013NFSLY,ZK7KR,480262000000
B0013NFSLY,VOT35,480262000000
B099JZ6VCV,OA7ER,846620980000
B099JZ6VCV,VOT35,846620980000
B000YLQB1M,VOT35,848180190009
B000QSF7TU,VOT35,392490000019
B07JHW52WG,VOT35,640419900000
B06XP1CWVR,VOT35,611430000011
B0BDDJXZ6X,7T7I3,731815950011
B0BDDJXZ6X,VOT35,731815950011
B00000288F,HD7V9,852349200000
B01HHA5S6G,VOT35,630392900012
B09MG4NH45,BN7KO,630392900012
B09SGS98JM,VOT35,732490000019
B00E3OG3Y6,GFA3Q,420292989000
B00E3OG3Y6,VOT35,420292989000
B0D5ZYC3W9,VOT35,392690979018
B001D0S4TA,VOT35,848180190009
B004ES4HP8,VOT35,420100000000
B001BAUE9U,VOT35,830241900000
B001BAUE9U,U580T,830241900000
B0BX78BTW4,VOT35,482010300000
B01AXBGXF6,VOT35,850519900000
B0DB3GLJVT,VOT35,842139259000
B0DB3GLJVT,MN7S6,842139259000
B0013N1822,VOT35,420100000000
B0D475YN3Q,VOT35,830242000019
B0BQ3NCKGN,VOT35,392690979018
B01D4CXIKY,VOT35,830230000000
B0053GBC1C,VOT35,442090990000
B00006JSPX,VOT35,820570000000
B003NSBG8G,VOT35,680422180000
B00078DRJG,ZK7XL,830250000000
B01LYSRXQM,VOT35,848180110000
B0BDDNHYX6,VOT35,830241100019
B0B5YJX668,VOT35,960340900000
B08PQ63DHC,VOT35,950631000000
B07BKRD77Z,VOT35,491191000000
B07WN27P5L,VOT35,950691900000
B07VLBPPKQ,VOT35,630392900012
B00LKMN7M0,VOT35,442199990019
B00J8U6CQY,VOT35,442199990019
B07X5F89MS,VOT35,960340100000
B0092KF3DS,VOT35,820160000000
B0002H3ZS0,VOT35,420100000000
B08SJB3STN,VOT35,940440900000
B005CG8L7G,VOT35,482050000000
B06Y32WSSS,VOT35,482090000000
B001N4QY5W,VOT35,950710000000
B08K4455JP,VOT35,950730000000
B09TWS5VWQ,VOT35,950790000000
B002YNPRR2,VOT35,842539000090
B00176BI2U,VOT35,750711000000
B00K8H5VYA,HD7V9,852349200000
B07FT3G8P6,HD7V9,852349200000
B0B9PL56WM,VOT35,852349200000
B07JH4D15J,Y07TA,852349200000
B008OZVNEK,VOT35,848180110000
B000T67OXQ,VOT35,950790000000
B07Q4FCXZ9,VOT35,580631000000
B0BLHQ3WGR,VOT35,420292110000
B09Q4HQ1BD,VOT35,820570000000
B089KX2QSQ,VOT35,820750300000
B00KP37XYS,VOT35,481910000000
B0007R8LJI,VOT35,950661000000
B01DW07DLS,VOT35,830242000019
B0B4BN9GLP,VOT35,950699900000
B0BDSYPNT1,VOT35,950730000000
B09QMFV1GV,VOT35,950590000000
B0925C9MT4,Y07TA,950300490000
B00XWQ34HK,VOT35,630392100000
B08JVHQC7W,VOT35,820551000000
B00F0WXFUU,VOT35,950669900000
B000GBBKPC,VOT35,950662000000
B09S7MHQ9X,Y07TA,950300690000
B003RWS9EW,VOT35,820320000011
B01LZ1AVYS,VOT35,442019000000
B000X4OGNU,VOT35,820320000011
B000ZEFODO,VOT35,820540000000
B000TVK3U2,VOT35,392690979018
B0CTJ6G8Q7,VOT35,392490000019
B0CTJ6G8Q7,YT7LU,392490000019
B07GZL38J3,VOT35,392112000000
B098YM53GN,VOT35,392490000013
1472834704,VOT35,950440000000
B00004YNNC,VOT35,820551000000
B000UOEAXY,VOT35,820551000000
B00P4TF3M2,VOT35,820520000011
B0013MVJPY,VOT35,420100000000
B0171MQWB0,VOT35,420100000000
B00DJQF9D0,VOT35,400811000000
B00MNLQS32,P17MK,392640000019
B00MNLQS32,VOT35,392640000019
B00004ZCLR,VOT35,482050000000
B00LQHKIQW,VOT35,392690979018
B005DX6MR4,VOT35,830241100019
B085D3XX7X,VOT35,482010300000
B085D3XX7X,LS7O8,482010300000
B06Y45C88H,VOT35,848180110000
B06Y45C88H,FM7TP,848180110000
B0753GG3GR,VOT35,392490000019
B0753GG3GR,6O7J8,392490000019
B0B69SHHXP,VOT35,920930000000
B09QVBDPFY,VOT35,920994000000
B01EY1XA3E,VOT35,391740000019
B0002KZDGY,A96TM,920994000000
B07FQSPKGH,VOT35,950669900000
8409291037,VOT35,852349200000
B073WLLHVR,ZK7XL,848180190009
B073WLLHVR,VOT35,848180190009
B08YD3NV4L,VOT35,482010300000
B000JE52ZA,VOT35,482010300000
B006WAVPR4,VOT35,920590900000
B0CFG8J64N,VOT35,950699900000
